timestamp,config_file,dataset,split,backbone,temp_set,matching,set_aggregation,tau,relation_level,use_intra_relation,use_inter_relation,inter_style,way,shot,query_per_class,iteration,mean_accuracy,confidence_interval
2026-08-04 07:18:50,configs/m3_bidir_pool_5shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,5,5,5,75000,67.724,0.3957
2026-08-04 17:00:06,configs/m4_bidir_instance_5shot.yaml,hmdb,3,resnet18,[2],bidirectional,instance,0.1,none,False,False,,5,5,5,75000,66.292,0.3956
2026-08-04 23:42:41,configs/m1_uni_pool_1shot.yaml,hmdb,3,resnet18,[2],unidirectional,pool,0.1,none,False,False,,5,1,5,75000,46.646,0.4236
2026-08-05 05:35:42,configs/m2_attn_pool_1shot.yaml,hmdb,3,resnet18,[2],attention_weighted,pool,0.1,none,False,False,,5,1,5,75000,42.74,0.421
2026-08-11 17:11:39,configs/m3_bidir_pool_5shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,5,5,5,75000,67.918,0.3939
2026-09-05 03:37:35,configs/stage2_decouple_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,decouple,True,remove,5,1,5,25000,21.91,0.1909
2026-09-05 05:28:15,configs/stage2_decouple_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,decouple,True,remove,5,1,5,50000,26.676,0.3045
2026-09-05 07:20:09,configs/stage2_decouple_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,decouple,True,remove,5,1,5,75000,29.958,0.3445
2026-09-05 09:11:08,configs/stage2_decouple_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,decouple,True,remove,5,1,5,100000,34.18,0.4063
2026-09-05 18:03:25,configs/stage2_true_hyrsm_b4_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,5,1,5,25000,51.7,0.4249
2026-09-05 20:17:10,configs/stage2_true_hyrsm_b4_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,5,1,5,50000,49.268,0.4274
2026-09-05 22:30:39,configs/stage2_true_hyrsm_b4_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,5,1,5,75000,50.572,0.4247
2026-09-06 00:45:00,configs/stage2_true_hyrsm_b4_tuple.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,True,true_hyrsm,True,remove,5,1,5,100000,50.134,0.4219
2026-09-06 09:30:16,configs/stage2_b2_intra_only.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,5,1,5,25000,47.288,0.4213
2026-09-06 17:58:50,configs/stage2_b2_intra_only.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,5,1,5,50000,48.046,0.4266
2026-09-06 21:49:32,configs/stage2_b2_intra_only.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,5,1,5,75000,48.784,0.4214
2026-09-06 23:29:47,configs/stage2_b2_intra_only.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,5,1,5,100000,47.91,0.4201
2026-09-07 02:00:45,configs/m3_bidir_pool_5shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,5,5,50000,67.748,0.3923
2026-09-07 02:54:28,configs/m3_bidir_pool_5shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,5,5,100000,67.384,0.3969
2026-09-07 03:25:00,configs/stage2_b2_intra_x2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,2,5,1,5,25000,45.872,0.4273
2026-09-07 05:07:33,configs/stage2_b2_intra_x2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,2,5,1,5,50000,45.052,0.425
2026-09-07 06:51:03,configs/stage2_b2_intra_x2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,2,5,1,5,75000,44.996,0.4217
2026-09-07 08:34:04,configs/stage2_b2_intra_x2.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,tuple,True,False,,True,remove,2,5,1,5,100000,44.08,0.4246
2026-09-07 14:10:16,/home/ccwu/Documents/work/trx/configs/b1_backbone_1shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,25000,49.502,0.4275
2026-09-07 15:48:12,/home/ccwu/Documents/work/trx/configs/b1_backbone_1shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,50000,48.106,0.4225
2026-09-07 17:26:17,/home/ccwu/Documents/work/trx/configs/b1_backbone_1shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,75000,47.31,0.4245
2026-09-07 19:03:44,/home/ccwu/Documents/work/trx/configs/b1_backbone_1shot.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,100000,46.652,0.4228
2026-09-07 21:15:38,/home/ccwu/Documents/work/trx/configs/m1_uni_pool_1shot.yaml,hmdb,3,resnet18,[2],unidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,25000,47.858,0.426
2026-09-07 22:51:58,/home/ccwu/Documents/work/trx/configs/m1_uni_pool_1shot.yaml,hmdb,3,resnet18,[2],unidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,50000,47.226,0.4223
2026-09-08 00:28:31,/home/ccwu/Documents/work/trx/configs/m1_uni_pool_1shot.yaml,hmdb,3,resnet18,[2],unidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,75000,48.184,0.4323
2026-09-08 02:05:39,/home/ccwu/Documents/work/trx/configs/m1_uni_pool_1shot.yaml,hmdb,3,resnet18,[2],unidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,100000,45.802,0.4248
2026-09-13 15:43:42,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b1.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,25000,46.456,0.416
2026-09-13 16:47:14,/home/ccwu/Documents/work/trx/configs/frozen_rn18_b1.yaml,hmdb,3,resnet18,[2],bidirectional,pool,0.1,none,False,False,,True,remove,1,5,1,5,50000,46.836,0.4135
