tag,stage,backbone,grad_ckpt,ckpt_prefix,ckpt_segments,ckpt_policy,amp,status,alloc_peak_gb,reserved_peak_gb,nvidia_smi_peak_gib,persist_gb,bb_retained_gb,head_retained_gb,bwd_extra_gb,ms_iter,data_ms,backbone_fwd_ms,head_fwd_ms,backward_ms,loss_first,loss_last,loss_finite,commit,note
R0,1c,resnet50,yes,14,7,full,off,ok,7.664,9.705,10.156,0.545,5.349,0.139,1.629,735.313,9.019,164.685,32.882,497.039,2.8894613,1.3609389,yes,87a4144,
S2,2,resnet50,yes,11,4,full,off,ok,8.219,11.059,11.070,0.546,6.877,0.142,0.654,708.431,8.989,163.834,33.074,471.127,2.9264181,1.3031654,yes,339f45a,
S3,2,resnet18,no,N/A,N/A,full,off,ok,5.529,8.623,9.068,0.427,4.841,0.132,0.128,297.341,8.960,51.201,34.224,171.189,3.9143894,1.6147381,yes,339f45a,
S4,2,resnet34,yes,14,7,full,off,ok,3.350,6.453,6.898,0.506,2.179,0.131,0.535,489.593,8.911,91.429,33.778,322.754,3.8063984,1.5283617,yes,339f45a,
C1,3d,resnet50,yes,14,7,save_conv,off,oom,未量測,未量測,11.701,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,e347773,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 308.00 MiB. GPU 0 has a total capacity of 11.75 GiB of which 48.19 MiB is free. Including non-PyTorch memory, this process has 11.57 GiB memory in use. Of the allocated memory 11.11 GiB is allocated by PyTorch, and 178.34 MiB is reserved "
C2,3d,resnet50,yes,11,4,save_conv,off,oom,未量測,未量測,11.475,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,e347773,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 308.00 MiB. GPU 0 has a total capacity of 11.75 GiB of which 280.19 MiB is free. Including non-PyTorch memory, this process has 11.34 GiB memory in use. Of the allocated memory 10.72 GiB is allocated by PyTorch, and 338.96 MiB is reserved"
C3,3d,resnet50,yes,21,10,save_conv,off,oom,未量測,未量測,11.633,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,未量測,e347773,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 308.00 MiB. GPU 0 has a total capacity of 11.75 GiB of which 138.19 MiB is free. Including non-PyTorch memory, this process has 11.48 GiB memory in use. Of the allocated memory 10.95 GiB is allocated by PyTorch, and 250.35 MiB is reserved"
A1,4b,resnet50,no,N/A,N/A,full,bf16,ok,10.610,11.273,11.723,0.545,9.863,0.193,0.009,430.066,9.085,106.349,37.938,243.816,2.7407417,1.2809737,yes,30ce6a3,
A2,4b,resnet50,yes,14,7,full,bf16,ok,4.220,5.965,6.414,0.544,2.726,0.181,0.768,515.287,9.184,106.900,38.023,328.171,2.8429713,1.3900442,yes,30ce6a3,
A3,4b,resnet50,yes,11,4,full,bf16,ok,4.583,6.385,6.834,0.545,3.493,0.189,0.357,499.629,9.033,107.036,38.101,313.923,3.0311344,1.3638004,yes,30ce6a3,
A4,4b,resnet50,yes,14,7,full,fp16,ok,4.222,5.812,6.262,0.547,2.724,0.182,0.768,474.307,9.069,91.245,36.370,304.971,7.4342065,1.4884442,yes,30ce6a3,
A5,4b,resnet18,no,N/A,N/A,full,off,ok,5.529,8.623,9.068,0.427,4.841,0.132,0.128,296.345,9.030,51.151,34.192,170.799,3.9056702,1.5854008,yes,30ce6a3,
A6,4b,resnet18,no,N/A,N/A,full,bf16,ok,3.313,4.379,4.826,0.425,2.696,0.184,0.008,247.937,9.186,37.052,37.899,131.770,3.7273195,1.6740283,yes,30ce6a3,
