iteration,loss
1,56.5613441467
2,29.3250789642
3,14.0066633224
4,41.7424392700
5,80.2889862061
6,99.3743896484
7,84.5750656128
8,79.7435760498
9,85.4845046997
10,78.0619201660
11,80.9932098389
12,52.3734741211
13,35.9398307800
14,50.7294387817
15,78.1716690063
16,28.2089729309
17,16.0443878174
18,23.9871826172
19,22.3208389282
20,22.6863555908
21,16.2843799591
22,25.5065879822
23,21.6274204254
24,39.0919189453
25,19.2175312042
26,25.4552822113
27,40.2696151733
28,26.9651565552
29,23.3836364746
30,11.4252052307
31,18.9891834259
32,27.0979614258
33,15.9478340149
34,13.9198131561
35,8.5938329697
36,7.7452192307
37,15.4590883255
38,18.6199092865
39,6.4816808701
40,13.4006357193
41,7.5237531662
42,16.7546787262
43,11.4138803482
44,14.1115474701
45,5.6050395966
46,19.6802749634
47,13.1919775009
48,8.4171323776
49,10.1971530914
50,10.8559656143
51,12.3730087280
52,10.2493305206
53,10.7903442383
54,8.1263532639
55,5.4113869667
56,11.1908016205
57,13.1181163788
58,7.1392698288
59,12.0151910782
60,8.9171962738
61,4.2818226814
62,9.1913013458
63,9.2141065598
64,7.1274147034
65,6.1620650291
66,7.4836988449
67,7.2406492233
68,6.0917506218
69,9.1531028748
70,7.6282014847
71,4.8778691292
72,7.9734401703
73,4.1012439728
74,4.1010675430
75,7.0702757835
76,6.3921861649
77,8.1865081787
78,6.9851665497
79,8.3119583130
80,3.8535032272
81,2.7642598152
82,2.3763496876
83,5.7401056290
84,5.6225481033
85,4.6660966873
86,3.7807350159
87,5.7689361572
88,3.2408821583
89,4.4212465286
90,5.2224941254
91,6.7477407455
92,5.0186471939
93,7.8174324036
94,4.4678716660
95,3.3875565529
96,2.4326186180
97,5.5587711334
98,4.3571267128
99,6.9835357666
100,2.8962926865
101,4.4994349480
102,4.2766065598
103,4.2642707825
104,3.7053704262
105,3.8642346859
106,5.2033958435
107,5.4807987213
108,4.8296627998
109,5.5035185814
110,4.3526449203
111,4.2107491493
112,3.1237385273
113,3.6524145603
114,3.3274383545
115,3.4983634949
116,2.3574705124
117,5.0876445770
118,3.6637101173
119,5.9705171585
120,5.1640419960
121,3.8662772179
122,3.9791443348
123,3.6298270226
124,4.4115996361
125,5.0713462830
126,4.5675973892
127,3.1473190784
128,4.1378183365
129,2.9471189976
130,3.5768153667
131,3.5976281166
132,2.5347275734
133,3.3089127541
134,3.7784795761
135,6.1564264297
136,3.1565623283
137,4.1881337166
