iteration,loss
1,56.5613441467
2,29.3250789642
3,14.0066633224
4,41.7424392700
5,80.2889862061
6,99.3743896484
7,84.5750656128
8,79.7435760498
9,85.4845046997
10,78.0619201660
11,80.9932098389
12,52.3734741211
13,35.9398307800
14,50.7294387817
15,78.1716690063
16,28.2097320557
17,16.0450096130
18,23.9867153168
19,22.3203353882
20,22.6861782074
21,16.2844982147
22,25.5063343048
23,21.6263618469
24,39.0918617249
25,19.2177886963
26,25.4555854797
27,40.2712936401
28,26.9642677307
29,23.3836574554
30,11.4254322052
31,18.9893360138
32,27.1044006348
33,15.9061565399
34,13.9248209000
35,8.6002063751
36,7.7630567551
37,15.5135192871
38,18.6301689148
39,6.4962248802
40,13.3834104538
41,7.5297861099
42,16.7389965057
43,11.4503364563
44,14.0595970154
45,5.6044702530
46,19.6883125305
47,13.1838893890
48,8.4928855896
49,10.1276636124
50,10.8078336716
51,12.3509197235
52,10.2727527618
53,10.7221851349
54,8.1855325699
55,5.3487906456
56,11.2338123322
57,13.1218433380
58,7.2086100578
59,12.0570764542
60,8.7773132324
61,4.3446898460
62,9.2663316727
63,9.1869583130
64,7.1312446594
65,6.0174884796
66,7.4613618851
67,7.2581353188
68,5.9338397980
69,9.0902900696
70,7.6912231445
71,4.8788661957
72,7.7293949127
73,3.9998698235
74,4.1221923828
75,7.0211706161
76,6.5254755020
77,8.1667041779
78,6.9223990440
79,8.2859029770
80,3.5990934372
81,2.7448835373
82,2.3281593323
83,5.7511959076
84,5.5526823997
85,4.7887420654
86,3.7823023796
87,6.1049890518
88,3.1165747643
89,4.5214848518
90,5.0035305023
91,6.6339521408
92,4.9856424332
93,7.6855468750
94,4.2983541489
95,3.7847535610
96,2.5268619061
97,5.5338225365
98,4.1353244781
99,7.0432324409
100,2.6443247795
101,4.5612549782
102,4.2108941078
103,4.0976634026
104,3.6546883583
105,4.0943679810
106,4.8892068863
107,5.4647369385
108,4.7733736038
109,5.3502445221
110,4.7068700790
111,4.1435565948
112,3.0693306923
113,3.7246704102
114,3.3723452091
115,3.3864512444
116,2.2033264637
117,4.6387505531
118,3.4267456532
119,5.6331543922
120,5.3365411758
121,3.8367028236
122,4.1498260498
123,3.5757884979
124,4.1499128342
125,4.8240547180
126,4.6115994453
127,3.1122446060
128,4.1477169991
129,2.8364987373
130,3.7792301178
131,3.5751481056
132,2.4350230694
133,3.1309366226
134,3.6387672424
135,6.1486392021
136,3.2235546112
137,4.0010237694
